"country","MostPeaceful2023GPI","MostPeaceful2022GPI","MostPeaceful2021GPI","gpiChange"
"India",2.314,2.578,2.553,-0.2639999999999998
"China",2.009,2.01,2.114,-0.0009999999999998899
"United States",2.448,2.44,2.337,0.008000000000000007
"Indonesia",1.829,1.8,1.783,0.028999999999999915
"Pakistan",2.745,2.789,2.868,-0.04400000000000004
"Nigeria",2.713,2.725,2.712,-0.01200000000000001
"Brazil",2.462,2.465,2.43,-0.0029999999999996696
"Bangladesh",2.051,2.067,2.068,-0.016000000000000014
"Russia",3.142,3.275,2.993,-0.133
"Ethiopia",2.872,2.806,2.613,0.06599999999999984
"Mexico",2.599,2.612,2.62,-0.0129999999999999
"Philippines",2.229,2.339,2.417,-0.10999999999999988
"Egypt",2.267,2.342,2.397,-0.07500000000000018
"DR Congo",3.214,3.166,3.196,0.04800000000000004
"Vietnam",1.745,1.786,1.835,-0.040999999999999925
"Iran",2.8,2.687,2.637,0.11299999999999999
"Turkey",2.8,2.785,2.843,0.01499999999999968
"Germany",1.456,1.462,1.48,-0.006000000000000005
"Thailand",2.061,2.098,2.205,-0.03699999999999992
"Tanzania",2.058,2.001,1.892,0.05699999999999994
"United Kingdom",1.693,1.667,1.658,0.026000000000000023
"France",1.939,1.895,1.868,0.04400000000000004
"South Africa",2.405,2.283,2.344,0.12199999999999989
"Italy",1.662,1.643,1.652,0.018999999999999906
"Kenya",2.254,2.303,2.254,-0.04899999999999993
"Myanmar",2.741,2.631,2.457,0.11000000000000032
"Colombia",2.693,2.729,2.694,-0.03600000000000003
"South Korea",1.763,1.779,1.877,-0.016000000000000014
"Uganda",2.3,2.309,2.219,-0.009000000000000341
"Sudan",3.023,3.007,2.936,0.016000000000000014
"Spain",1.649,1.603,1.621,0.04600000000000004
"Iraq",3.006,3.157,3.257,-0.15100000000000025
"Algeria",2.094,2.146,2.31,-0.052000000000000046
"Argentina",1.837,1.911,1.945,-0.07400000000000007
"Afghanistan",3.448,3.554,3.631,-0.10599999999999987
"Poland",1.634,1.552,1.524,0.08199999999999985
"Canada",1.35,1.389,1.33,-0.038999999999999924
"Morocco",2.02,1.969,2.015,0.050999999999999934
"Ukraine",3.043,2.971,2.66,0.07200000000000006
"Angola",2.02,1.982,2.017,0.038000000000000034
"Saudi Arabia",2.26,2.288,2.376,-0.028000000000000025
"Uzbekistan",2.033,2.001,2.062,0.03200000000000003
"Yemen",3.35,3.394,3.407,-0.04400000000000004
"Mozambique",2.259,2.316,2.123,-0.05699999999999994
"Ghana",1.799,1.759,1.715,0.040000000000000036
"Peru",2.13,2.091,2.034,0.0389999999999997
"Malaysia",1.513,1.471,1.515,0.041999999999999815
"Nepal",2.006,1.947,2.033,0.05899999999999972
"Madagascar",1.846,1.995,1.963,-0.14900000000000002
"Ivory Coast",2.053,2.144,2.123,-0.09100000000000019
"Venezuela",2.693,2.798,2.934,-0.10499999999999998
"Cameroon",2.66,2.709,2.7,-0.04899999999999993
"Niger",2.625,2.655,2.589,-0.029999999999999805
"Australia",1.525,1.565,1.47,-0.040000000000000036
"North Korea",2.848,2.942,2.923,-0.0940000000000003
"Syria",3.294,3.356,3.371,-0.06199999999999983
"Mali",2.963,2.911,2.813,0.052000000000000046
"Taiwan",1.649,1.618,1.662,0.030999999999999917
"Burkina Faso",2.868,2.786,2.527,0.08199999999999985
"Sri Lanka",2.136,2.02,2.083,0.1160000000000001
"Malawi",1.97,1.895,1.909,0.07499999999999996
"Zambia",1.898,1.841,1.964,0.05699999999999994
"Kazakhstan",1.98,2.071,1.936,-0.09100000000000019
"Chile",1.874,1.84,1.831,0.03400000000000003
"Romania",1.649,1.64,1.53,0.009000000000000119
"Chad",2.699,2.591,2.489,0.10799999999999965
"Somalia",3.036,3.125,3.211,-0.08899999999999997
"Ecuador",2.095,1.988,2.044,0.1070000000000002
"Guatemala",2.13,2.139,2.195,-0.008999999999999897
"Senegal",1.827,1.916,1.864,-0.08899999999999997
"Netherlands",1.49,1.522,1.506,-0.03200000000000003
"Cambodia",1.947,1.882,2.008,0.06500000000000017
"Zimbabwe",2.3,2.35,2.49,-0.050000000000000266
"Guinea",2.359,2.332,2.069,0.027000000000000135
"Rwanda",2.051,1.945,2.028,0.1060000000000001
"Benin",2.177,2.125,2.093,0.052000000000000046
"Burundi",2.393,2.47,2.434,-0.0770000000000004
"Bolivia",2.001,1.989,2.14,0.011999999999999789
"Tunisia",2.01,1.996,2.108,0.01399999999999979
"Haiti",2.395,2.254,2.151,0.14100000000000001
"Belgium",1.523,1.526,1.496,-0.0030000000000001137
"Dominican Republic",2.019,1.99,2.024,0.029000000000000137
"Jordan",1.895,1.849,1.916,0.04600000000000004
"South Sudan",3.221,3.184,3.363,0.03699999999999992
"Cuba",2.103,2.083,2.042,0.020000000000000018
"Honduras",2.265,2.269,2.371,-0.0040000000000000036
"Sweden",1.625,1.564,1.46,0.06099999999999994
"Papua New Guinea",2.095,2.046,2.149,0.04900000000000038
"Czech Republic",1.379,1.318,1.329,0.06099999999999994
"Azerbaijan",2.09,2.437,2.334,-0.347
"Tajikistan",2.114,2.031,2.095,0.08299999999999974
"Greece",1.89,1.838,1.932,0.051999999999999824
"Portugal",1.333,1.301,1.267,0.03200000000000003
"Hungary",1.508,1.411,1.494,0.09699999999999998
"United Arab Emirates",1.979,1.865,1.848,0.1140000000000001
"Belarus",2.248,2.259,2.285,-0.010999999999999677
"Israel",2.706,2.576,2.669,0.1299999999999999
"Togo",2.13,2.094,2.239,0.03600000000000003
"Sierra Leone",1.792,1.803,1.813,-0.010999999999999899
